,depth,temp
2003-01-15-08-34,50.0,5.9500000000000002
2003-01-15-09-34,50.0,6.0
2003-01-15-10-34,50.0,5.6500000000000004
2003-01-15-11-34,50.0,5.8899999999999997
2003-01-15-12-34,50.0,5.8799999999999999
2003-01-15-13-34,50.0,5.9500000000000002
2003-01-15-14-34,50.0,5.7599999999999998
2003-01-15-15-34,50.0,5.5599999999999996
2003-01-15-16-34,50.0,5.6299999999999999
2003-01-15-17-34,50.0,5.54
2003-01-15-18-34,50.0,5.5300000000000002
2003-01-15-19-34,50.0,5.5599999999999996
2003-01-15-20-34,50.0,5.5300000000000002
2003-01-15-21-34,50.0,5.5300000000000002
2003-01-15-22-34,50.0,5.5300000000000002
2003-01-15-23-34,50.0,5.5199999999999996
2003-01-16-00-34,50.0,5.5899999999999999
2003-01-16-01-34,50.0,5.6399999999999997
2003-01-16-02-34,50.0,5.71
2003-01-16-03-34,50.0,5.6500000000000004
2003-01-16-04-34,50.0,5.6600000000000001
2003-01-16-05-34,50.0,5.6900000000000004
2003-01-16-06-34,50.0,5.7400000000000002
2003-01-16-07-34,50.0,5.6900000000000004
2003-01-16-08-34,50.0,5.6699999999999999
2003-01-16-09-34,50.0,5.5899999999999999
2003-01-16-10-34,50.0,5.6100000000000003
2003-01-16-11-34,50.0,5.6399999999999997
2003-01-16-12-34,50.0,5.5800000000000001
2003-01-16-13-34,50.0,5.5599999999999996
2003-01-16-14-34,50.0,5.6200000000000001
2003-01-16-15-34,50.0,5.4699999999999998
2003-01-16-16-34,50.0,5.2699999999999996
2003-01-16-17-34,50.0,5.1600000000000001
2003-01-16-18-34,50.0,5.29
2003-01-16-19-34,50.0,5.25
2003-01-16-20-34,50.0,5.4500000000000002
2003-01-16-21-34,50.0,5.4299999999999997
2003-01-16-22-34,50.0,5.3899999999999997
2003-01-16-23-34,50.0,6.0
2003-01-17-00-34,50.0,5.9400000000000004
2003-01-17-01-34,50.0,6.2000000000000002
2003-01-17-02-34,50.0,6.2800000000000002
2003-01-17-03-34,50.0,6.46
2003-01-17-04-34,50.0,6.3700000000000001
2003-01-17-05-34,50.0,6.5099999999999998
2003-01-17-06-34,50.0,6.54
2003-01-17-07-34,50.0,6.5499999999999998
2003-01-17-08-34,50.0,6.5599999999999996
2003-01-17-09-34,50.0,6.5899999999999999
2003-01-17-10-34,50.0,6.6100000000000003
2003-01-17-11-34,50.0,6.6500000000000004
2003-01-17-12-34,50.0,6.6500000000000004
2003-01-17-13-34,50.0,6.6600000000000001
2003-01-17-14-34,50.0,6.6699999999999999
2003-01-17-15-34,50.0,6.6399999999999997
2003-01-17-16-34,50.0,6.5899999999999999
2003-01-17-17-34,50.0,6.3600000000000003
2003-01-17-18-34,50.0,6.3099999999999996
2003-01-17-19-34,50.0,6.25
2003-01-17-20-34,50.0,6.25
2003-01-17-21-34,50.0,6.2800000000000002
2003-01-17-22-34,50.0,6.2599999999999998
2003-01-17-23-34,50.0,6.0700000000000003
2003-01-18-00-34,50.0,6.2699999999999996
2003-01-18-01-34,50.0,6.04
2003-01-18-02-34,50.0,5.9199999999999999
2003-01-18-03-34,50.0,5.6299999999999999
2003-01-18-04-34,50.0,5.6299999999999999
2003-01-18-05-34,50.0,5.5899999999999999
2003-01-18-06-34,50.0,5.71
2003-01-18-07-34,50.0,5.6500000000000004
2003-01-18-08-34,50.0,5.7000000000000002
2003-01-18-09-34,50.0,5.7599999999999998
2003-01-18-10-34,50.0,5.7000000000000002
2003-01-18-11-34,50.0,5.5
2003-01-18-12-34,50.0,5.3200000000000003
2003-01-18-13-34,50.0,5.3799999999999999
2003-01-18-14-34,50.0,5.3899999999999997
2003-01-18-15-34,50.0,5.3200000000000003
2003-01-18-16-34,50.0,5.1799999999999997
2003-01-18-17-34,50.0,5.0499999999999998
2003-01-18-18-34,50.0,5.0300000000000002
2003-01-18-19-34,50.0,5.0199999999999996
2003-01-18-20-34,50.0,5.0300000000000002
2003-01-18-21-34,50.0,5.0300000000000002
2003-01-18-22-34,50.0,5.0300000000000002
2003-01-18-23-34,50.0,4.9800000000000004
2003-01-19-00-34,50.0,4.9299999999999997
2003-01-19-01-34,50.0,4.96
2003-01-19-02-34,50.0,4.8799999999999999
2003-01-19-03-34,50.0,4.8399999999999999
2003-01-19-04-34,50.0,4.8600000000000003
2003-01-19-05-34,50.0,4.8200000000000003
2003-01-19-06-34,50.0,4.7999999999999998
2003-01-19-07-34,50.0,4.7599999999999998
2003-01-19-08-34,50.0,4.7699999999999996
2003-01-19-09-34,50.0,4.7800000000000002
2003-01-19-10-34,50.0,4.7999999999999998
2003-01-19-11-34,50.0,4.8300000000000001
2003-01-19-12-34,50.0,4.8399999999999999
2003-01-19-13-34,50.0,4.8799999999999999
2003-01-19-14-34,50.0,5.0300000000000002
2003-01-19-15-34,50.0,5.2400000000000002
2003-01-19-16-34,50.0,5.2599999999999998
2003-01-19-17-34,50.0,5.3300000000000001
2003-01-19-18-34,50.0,5.3499999999999996
2003-01-19-19-34,50.0,5.3099999999999996
2003-01-19-20-34,50.0,5.2699999999999996
2003-01-19-21-34,50.0,5.2699999999999996
2003-01-19-22-34,50.0,5.2400000000000002
2003-01-19-23-34,50.0,5.4199999999999999
2003-01-20-00-34,50.0,5.54
2003-01-20-01-34,50.0,5.5
2003-01-20-02-34,50.0,5.5999999999999996
2003-01-20-03-34,50.0,5.5300000000000002
2003-01-20-04-34,50.0,5.6200000000000001
2003-01-20-05-34,50.0,5.6600000000000001
2003-01-20-06-34,50.0,5.6900000000000004
2003-01-20-07-34,50.0,5.6699999999999999
2003-01-20-08-34,50.0,5.6799999999999997
2003-01-20-09-34,50.0,5.6799999999999997
2003-01-20-10-34,50.0,5.6699999999999999
2003-01-20-11-34,50.0,5.6500000000000004
2003-01-20-12-34,50.0,5.5899999999999999
2003-01-20-13-34,50.0,5.5300000000000002
2003-01-20-14-34,50.0,5.5099999999999998
2003-01-20-15-34,50.0,5.5199999999999996
2003-01-20-16-34,50.0,5.46
2003-01-20-17-34,50.0,5.2999999999999998
2003-01-20-18-34,50.0,5.2400000000000002
2003-01-20-19-34,50.0,5.0499999999999998
2003-01-20-20-34,50.0,4.9100000000000001
2003-01-20-21-34,50.0,4.9400000000000004
2003-01-20-22-34,50.0,4.9100000000000001
2003-01-20-23-34,50.0,4.9000000000000004
2003-01-21-00-34,50.0,4.8600000000000003
2003-01-21-01-34,50.0,4.8099999999999996
2003-01-21-02-34,50.0,4.75
2003-01-21-03-34,50.0,4.8600000000000003
2003-01-21-04-34,50.0,5.0
2003-01-21-05-34,50.0,4.9100000000000001
2003-01-21-06-34,50.0,4.8200000000000003
2003-01-21-07-34,50.0,4.8300000000000001
2003-01-21-08-34,50.0,4.7800000000000002
2003-01-21-09-34,50.0,4.7800000000000002
2003-01-21-10-34,50.0,4.79
2003-01-21-11-34,50.0,4.7800000000000002
2003-01-21-12-34,50.0,4.79
2003-01-21-13-34,50.0,4.8700000000000001
2003-01-21-14-34,50.0,4.9500000000000002
2003-01-21-15-34,50.0,5.0300000000000002
2003-01-21-16-34,50.0,5.04
2003-01-21-17-34,50.0,5.0499999999999998
2003-01-21-18-34,50.0,5.0700000000000003
2003-01-21-19-34,50.0,5.0800000000000001
2003-01-21-20-34,50.0,5.1399999999999997
2003-01-21-21-34,50.0,5.2400000000000002
2003-01-21-22-34,50.0,5.3700000000000001
2003-01-21-23-34,50.0,5.4000000000000004
2003-01-22-00-34,50.0,5.3899999999999997
2003-01-22-01-34,50.0,5.3200000000000003
2003-01-22-02-34,50.0,5.29
2003-01-22-03-34,50.0,5.3200000000000003
2003-01-22-04-34,50.0,5.5099999999999998
2003-01-22-05-34,50.0,5.8099999999999996
2003-01-22-06-34,50.0,5.9100000000000001
2003-01-22-07-34,50.0,6.0499999999999998
2003-01-22-08-34,50.0,6.2199999999999998
2003-01-22-09-34,50.0,6.29
2003-01-22-10-34,50.0,6.2400000000000002
2003-01-22-11-34,50.0,6.2999999999999998
2003-01-22-12-34,50.0,6.2199999999999998
2003-01-22-13-34,50.0,6.2300000000000004
2003-01-22-14-34,50.0,6.29
2003-01-22-15-34,50.0,6.4199999999999999
2003-01-22-16-34,50.0,6.4500000000000002
2003-01-22-17-34,50.0,6.4000000000000004
2003-01-22-18-34,50.0,6.2699999999999996
2003-01-22-19-34,50.0,6.29
2003-01-22-20-34,50.0,6.1500000000000004
2003-01-22-21-34,50.0,6.0499999999999998
2003-01-22-22-34,50.0,6.0199999999999996
2003-01-22-23-34,50.0,6.0099999999999998
2003-01-23-00-34,50.0,6.0700000000000003
2003-01-23-01-34,50.0,6.1500000000000004
2003-01-23-02-34,50.0,6.25
2003-01-23-03-34,50.0,6.3099999999999996
2003-01-23-04-34,50.0,6.2999999999999998
2003-01-23-05-34,50.0,6.29
2003-01-23-06-34,50.0,6.2699999999999996
2003-01-23-07-34,50.0,6.25
2003-01-23-08-34,50.0,6.2800000000000002
2003-01-23-09-34,50.0,6.2999999999999998
2003-01-23-10-34,50.0,6.3099999999999996
2003-01-23-11-34,50.0,6.3099999999999996
2003-01-23-12-34,50.0,6.2699999999999996
2003-01-23-13-34,50.0,6.2400000000000002
2003-01-23-14-34,50.0,6.1799999999999997
2003-01-23-15-34,50.0,6.1399999999999997
2003-01-23-16-34,50.0,6.1200000000000001
2003-01-23-17-34,50.0,6.1299999999999999
2003-01-23-18-34,50.0,6.1399999999999997
2003-01-23-19-34,50.0,6.1500000000000004
2003-01-23-20-34,50.0,6.1500000000000004
2003-01-23-21-34,50.0,6.1200000000000001
2003-01-23-22-34,50.0,5.9199999999999999
2003-01-23-23-34,50.0,5.5199999999999996
2003-01-24-00-34,50.0,5.5199999999999996
2003-01-24-01-34,50.0,5.3899999999999997
2003-01-24-02-34,50.0,5.4199999999999999
2003-01-24-03-34,50.0,5.5
2003-01-24-04-34,50.0,5.4500000000000002
2003-01-24-05-34,50.0,5.5199999999999996
2003-01-24-06-34,50.0,5.46
2003-01-24-07-34,50.0,5.5
2003-01-24-08-34,50.0,5.46
2003-01-24-09-34,50.0,5.3200000000000003
2003-01-24-10-34,50.0,5.29
2003-01-24-11-34,50.0,5.2800000000000002
2003-01-24-12-34,50.0,5.2199999999999998
2003-01-24-13-34,50.0,5.2599999999999998
2003-01-24-14-34,50.0,5.2000000000000002
2003-01-24-15-34,50.0,5.21
2003-01-24-16-34,50.0,5.1200000000000001
2003-01-24-17-34,50.0,5.1299999999999999
2003-01-24-18-34,50.0,5.1600000000000001
2003-01-24-19-34,50.0,5.1600000000000001
2003-01-24-20-34,50.0,5.1500000000000004
2003-01-24-21-34,50.0,5.3200000000000003
2003-01-24-22-34,50.0,5.4000000000000004
2003-01-24-23-34,50.0,5.3200000000000003
2003-01-25-00-34,50.0,5.2400000000000002
2003-01-25-01-34,50.0,5.0599999999999996
2003-01-25-02-34,50.0,4.8200000000000003
2003-01-25-03-34,50.0,4.5700000000000003
2003-01-25-04-34,50.0,4.4800000000000004
2003-01-25-05-34,50.0,4.5099999999999998
2003-01-25-06-34,50.0,4.4500000000000002
2003-01-25-07-34,50.0,4.3600000000000003
2003-01-25-08-34,50.0,4.2599999999999998
2003-01-25-09-34,50.0,4.4299999999999997
2003-01-25-10-34,50.0,4.7199999999999998
2003-01-25-11-34,50.0,4.6399999999999997
2003-01-25-12-34,50.0,4.7599999999999998
2003-01-25-13-34,50.0,4.71
2003-01-25-14-34,50.0,4.5700000000000003
2003-01-25-15-34,50.0,4.0499999999999998
2003-01-25-16-34,50.0,3.8999999999999999
2003-01-25-17-34,50.0,4.1399999999999997
2003-01-25-18-34,50.0,4.0599999999999996
2003-01-25-19-34,50.0,4.0800000000000001
2003-01-25-20-34,50.0,4.5499999999999998
2003-01-25-21-34,50.0,4.2300000000000004
2003-01-25-22-34,50.0,3.7999999999999998
2003-01-25-23-34,50.0,3.6200000000000001
2003-01-26-00-34,50.0,3.52
